,index,customer_type,session_duration_microseconds,signed_up,pages_visited,app_removed,personalise_store_pageviews,purposeful_shelves_pageviews,digi_me_pageviews,homepage_duration_microseconds,add_to_cart,scan_qr,notification_open,notification_receive,price,quantity,total_cost,entered_store,visited_purposeful_shelves,entered_dm,visited_digi_me,visited_personalised_store,entered_welcome,entered_purposeful_shelves,cos_month,cos_wday,completed_transaction
772,314,0,0.0001371253919224,0,2,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.8910065241883679,0.9749279121818236,0
773,189,0,0.2373724077349172,0,81,0,4,21,0,0.0003273893625816,3,2,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.9009688679024191,0
774,223,0,0.3440344196315743,0,77,0,0,24,0,0.0027695484302193,5,3,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.4338837391175582,0
775,403,0,0.0016890735595597,0,7,0,0,1,0,0.0138950401972419,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.8090169943749475,0.9749279121818236,0
776,872,0,0.0,0,0,1,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.9749279121818236,0
777,1220,0,0.000173659922441,0,2,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.9749279121818236,0
778,1147,1,0.001142506475477,1,6,0,1,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.6234898018587336,0
779,1094,1,0.0007693794032196,1,1,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.8090169943749475,0.4338837391175582,0
780,1117,0,0.0010920791071986,0,11,0,0,3,0,4.890982707034563e-07,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.3090169943749474,0.9749279121818236,0
781,462,0,0.0156824585239954,0,18,0,1,0,0,0.0042608379164908,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.1564344650402309,0.6234898018587336,0
782,1066,0,0.0006867263807969,0,8,0,0,0,0,1.4298709535234629e-07,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,6.123233995736766e-17,0.2225209339563144,0
783,296,0,0.0016025516578522,0,6,0,0,1,0,0.0009428179929803,0,0,0,0,0.0,0.0,0.0,1,1,1,0,0,1,1,0.4539904997395468,0.9749279121818236,0
