event_date,session_timestamp,event_wday,user_id,user_customer_id,session_duration_microseconds,visited_personalised_store,personalise_store_pageviews,visited_purposeful_shelves,purposeful_shelves_pageviews,visited_digi_me,digi_me_pageviews,entered_store,entered_purposeful_shelves,entered_dm,entered_welcome
20/06/2022,1.65574E+15,Monday,e4e33b3c42f3c05e6ecc113b4532e044,x3vKlw36WLYCI1TFmw5pGUW7ye82,7354374022,1,2,1,109,0,0,1,1,1,1
20/06/2022,1.65573E+15,Monday,B6D2710FBB0A4E77805D055D8450A394,RrFRxE3TxhfRM7uFqVMaeflr3nA2,10638880999,1,2,1,8,1,1,1,1,0,1
05/09/2022,1.66238E+15,Monday,0DF35A4E5D2843B088016A4BE4166BB4,tX16o8oiCdT7bkmfqKE920zHg822,9192722001,0,0,1,6,0,0,1,1,0,1
05/09/2022,1.66238E+15,Monday,1FF256035BA247B0AF2480887ABD0434,0HvwSMtHYxPlehKCj1ALRXRixRF2,6640619002,0,0,1,34,0,0,1,1,0,1
08/08/2022,1.65996E+15,Monday,99ea1a7acf477a89dc63bdc9bcbb457d,Jt5BvcmpiUXU107rc1ySvTgTq4A2,155903004,0,0,1,8,0,0,1,1,0,0
08/08/2022,1.65995E+15,Monday,effbc254ba576278fa5d064491958314,ilkk3rXHfvRVozJzRT77tN1Bu9I2,3832430067,0,0,1,5,0,0,1,1,1,1
15/08/2022,1.66057E+15,Monday,0DF35A4E5D2843B088016A4BE4166BB4,tX16o8oiCdT7bkmfqKE920zHg822,713203001,0,0,1,6,0,0,1,1,0,1
15/08/2022,1.66057E+15,Monday,24E67F68C97C46CA94C83083EE5BFF18,rmzrZm9JLtYPiSCQo5ESlzqclj63,6829954010,1,4,1,3,0,0,1,1,1,1
26/09/2022,1.6642E+15,Monday,8E107987DE9247CCB46F60BE7D6BF60F,BkrsdTI3XGWm2fVNxnPSwzt8qO62,2841221019,0,0,1,2,0,0,1,0,0,1
26/09/2022,1.6642E+15,Monday,2561536DB8544A349BBC49980890ACFF,PPRiPIdE2ZMjvlFsbOsTDnnAvhN2,1402236001,0,0,1,4,0,0,1,1,0,1
26/09/2022,1.6642E+15,Monday,1FF256035BA247B0AF2480887ABD0434,qn0hSmruuzO3NqaBbXqWBBy1zEs2,4146248000,1,4,1,14,0,0,1,1,0,1
26/09/2022,1.6642E+15,Monday,C6D0D4C76B15451EA92CB7A655DCFF1F,iAPGv7XQSfc3IeC3meOS2hKslCj1,1242384011,1,1,1,2,0,0,1,1,0,1
27/06/2022,1.65633E+15,Monday,e4e33b3c42f3c05e6ecc113b4532e044,K9KeA6etCVe1opm6b1ThDsMiVW33,20762619094,1,61,1,119,0,0,1,1,1,1
18/07/2022,1.65813E+15,Monday,0f048677ad4a48d30e81501da52c8543,9HOR7rk4BINKxYHJ6kcGJ2Tr57o1,13469943000,0,0,1,3,0,0,1,1,1,1
01/08/2022,1.65934E+15,Monday,65fe7b5d2163cf33a20fdb612bdd1004,7iGXxZpjIKhKg3WYwbBb5ityvki2,20232303003,0,0,1,1,0,0,1,1,1,1
01/08/2022,1.65934E+15,Monday,24E67F68C97C46CA94C83083EE5BFF18,rmzrZm9JLtYPiSCQo5ESlzqclj63,19591510047,0,0,1,1,0,0,1,1,1,1
01/08/2022,1.65936E+15,Monday,B6D2710FBB0A4E77805D055D8450A394,c0bB50ZnccO2HKJWlvTypdxWPo32,4951625012,1,1,1,11,0,0,1,1,1,1
02/08/2022,1.65943E+15,Tuesday,effbc254ba576278fa5d064491958314,ilkk3rXHfvRVozJzRT77tN1Bu9I2,45339005,0,0,0,0,0,0,1,0,0,1
