event_date,session_timestamp,event_wday,user_id,user_customer_id,session_id,ga_session_number,customer_type,session_duration_microseconds,completed_transaction,signed_up,transaction_value,pages_visited,app_removed,personalise_store_pageviews,purposeful_shelves_pageviews,digi_me_pageviews,homepage_duration_microseconds,add_to_cart,scan_qr,notification_open,notification_receive
01/04/2022,1.6488E+15,Friday,a1fa602cbca80fe35b11ad54c4eee83a,,1648801634,1,New Visitor,10403999,0,0,,3,0,0,0,0,0,0,0,0,0
01/04/2022,1.6488E+15,Friday,a1fa602cbca80fe35b11ad54c4eee83a,7Lw3CCgex4fzVojFtf0l8S3BMX93,1648801634,1,New Visitor,17500000,0,1,,1,0,0,0,0,0,0,0,0,0
01/04/2022,1.6488E+15,Friday,6B7A07FDAC42470DBC2EAAA1DB59C157,GkzS6Ox6zRSYpExtPSbTVfHcV5u2,1648800596,1,New Visitor,1295709022,0,1,,43,0,23,13,0,850720955,0,0,0,0
19/08/2022,1.6609E+15,Friday,2fddf2c9818c281d598c0ffe1cbb5f19,,1660896920,1,New Visitor,103649009,0,0,,11,0,0,0,0,0,0,0,0,0
19/08/2022,1.6609E+15,Friday,2fddf2c9818c281d598c0ffe1cbb5f19,wTfJ0GZ3dTNG4aCzA5lstW7Dk423,1660896920,1,New Visitor,1521988002,0,0,,6,0,1,0,0,1558428998,0,0,0,0
19/08/2022,1.66091E+15,Friday,89dd30243be06bf5e9196883141ed74e,,1660905068,1,New Visitor,45077009,0,0,,6,0,0,1,0,0,0,0,0,0
19/08/2022,1.66091E+15,Friday,89dd30243be06bf5e9196883141ed74e,hjRP0AmeMkeswtXtyowwWn1d0mr1,1660905068,1,New Visitor,453111002,0,0,,16,0,0,15,0,5725430000,0,0,0,0
19/08/2022,1.66092E+15,Friday,b4f6b3bae613f7cc884ff1613417fc43,,1660918488,1,New Visitor,0,0,0,,0,0,0,0,0,0,0,0,0,0
19/08/2022,1.6609E+15,Friday,D6041EE669B947759D53D21A99852264,,1660898317,1,New Visitor,4454006,0,0,,6,0,0,0,0,0,0,0,0,0
19/08/2022,1.6609E+15,Friday,29e4f86e7abbff50683fc854c8922667,wTfJ0GZ3dTNG4aCzA5lstW7Dk423,1660896920,1,New Visitor,0,0,0,,0,1,0,0,0,0,0,0,0,0
20/05/2022,1.65304E+15,Friday,3F06EEAA2CBE422B9B00E38EED29B1BC,DEeIuCR0Aggz1uvbQFcVaNtvV6u1,1653038730,1,New Visitor,34510083,0,1,,81,0,0,0,0,0,0,0,0,0
20/05/2022,1.65304E+15,Friday,3F06EEAA2CBE422B9B00E38EED29B1BC,,1653038730,1,New Visitor,8775007,0,0,,6,0,0,0,0,0,0,0,0,0
09/09/2022,1.66272E+15,Friday,BC87ACCE847443D49A25FDBB71FAB1EF,,1662718596,1,New Visitor,15876999,0,0,,7,0,0,0,0,0,0,0,0,0
09/09/2022,1.66272E+15,Friday,DCE9A5400156415291986B297DA42749,,1662718622,1,New Visitor,10848008,0,0,,7,0,0,0,0,0,0,0,0,0
09/09/2022,1.66272E+15,Friday,83eba3923e4a5427fed78ff7bb4cff5e,,1662718407,1,New Visitor,239064003,0,0,,8,0,0,0,0,0,0,0,0,0
09/09/2022,1.66272E+15,Friday,D94A956AF5CB41E0A0022EC8173964C8,,1662718643,1,New Visitor,33947999,0,0,,6,0,0,0,0,0,0,0,0,0
09/09/2022,1.66271E+15,Friday,3001330AF7794F48AEFBE04606E52DC7,,1662712691,1,New Visitor,6352008,0,0,,7,0,0,0,0,0,0,0,0,0
09/09/2022,1.66272E+15,Friday,02A7455546FC47DCA3EC574C9CF95405,,1662718586,1,New Visitor,18644999,0,0,,7,0,0,0,0,0,0,0,0,0
09/09/2022,1.66272E+15,Friday,CDFCEB9521BF48FA989BAC1FA77AABD2,,1662718639,1,New Visitor,40276999,0,0,,7,0,0,0,0,0,0,0,0,0
09/09/2022,1.66272E+15,Friday,61f78a8a958b24ff1ff3ef539335a697,s5sMqCayngaywqUZPIfa47lxMsm2,1662554357,1,New Visitor,0,0,0,,0,1,0,0,0,0,0,0,0,0
09/09/2022,1.66271E+15,Friday,3001330AF7794F48AEFBE04606E52DC7,1nUG5RPt8nXuyXtEGhwD3a5aC0c2,1662712691,1,New Visitor,155649009,0,1,,23,0,1,0,0,37113001,0,0,0,0
09/09/2022,1.66272E+15,Friday,D94A956AF5CB41E0A0022EC8173964C8,4kkcEjlClsdwdVVmSaaNrxd0OMo2,1662718643,1,New Visitor,858965036,0,1,,74,0,8,33,0,159161976,0,0,0,0
09/09/2022,1.66272E+15,Friday,BC87ACCE847443D49A25FDBB71FAB1EF,6j9y6RMGplVSYyXBGK1VYYncENc2,1662718596,1,New Visitor,724322007,0,1,,47,0,9,12,0,279805999,0,0,0,0
09/09/2022,1.66272E+15,Friday,CDFCEB9521BF48FA989BAC1FA77AABD2,Jl2owNohjiWP6nne7wYTHgqlEOC3,1662718639,1,New Visitor,751926020,0,1,,44,0,5,6,0,168100016,0,0,0,0
09/09/2022,1.66272E+15,Friday,02A7455546FC47DCA3EC574C9CF95405,TfnVfBz3yqeRsjRzIHrYUvHxobU2,1662718586,1,New Visitor,778867001,0,1,,29,0,2,1,0,346228994,0,0,0,0
09/09/2022,1.66272E+15,Friday,DCE9A5400156415291986B297DA42749,b2Bu1GRLxugJo8FWoI4gzaNcGH72,1662718622,1,New Visitor,1527993004,0,1,,52,0,5,6,0,425691018,0,0,0,0
09/09/2022,1.66272E+15,Friday,83eba3923e4a5427fed78ff7bb4cff5e,yUA5CHbldjZaDwLcYaa7u0yn8Eh1,1662718407,1,New Visitor,125192008,0,1,,14,0,5,0,0,7251001,0,0,0,0
12/08/2022,1.6603E+15,Friday,3acb32b0ac60e2d92f3519e1953342ed,,1660300631,1,New Visitor,17636999,0,0,,4,0,0,0,0,0,0,0,0,0
12/08/2022,1.6603E+15,Friday,989489D821054649BC95C0B08C6BD3FF,,1660297943,1,New Visitor,19007999,0,0,,4,0,0,0,0,0,0,0,0,0
12/08/2022,1.66031E+15,Friday,78071952dea07f4b02e357a858ae4616,,1660311463,1,New Visitor,10024004,0,0,,4,0,0,0,0,0,0,0,0,0
12/08/2022,1.66028E+15,Friday,821B8E3EE34845C68797E37C2D074F1C,,1660279041,1,New Visitor,4805006,0,0,,6,0,0,0,0,0,0,0,0,0
12/08/2022,1.6603E+15,Friday,3acb32b0ac60e2d92f3519e1953342ed,5i6nwLtccRYnugcShsO5aG3yYPw1,1660300631,1,New Visitor,2444732001,0,1,,33,0,5,5,0,1.25589E+12,0,1,0,1
12/08/2022,1.66031E+15,Friday,78071952dea07f4b02e357a858ae4616,MxwYodVOxTTaW3STYjPLFhvVqGx2,1660311463,1,New Visitor,1237680002,0,1,,13,0,1,0,0,103503002,0,0,0,3
24/06/2022,1.65608E+15,Friday,176EF79CEEDD473DA201B6FDD77FF02F,,1656080892,1,New Visitor,4159006,0,0,,6,0,0,0,0,0,0,0,0,0
24/06/2022,1.65606E+15,Friday,B98A0134AF3D44C5AA1347144843B8AF,,1656058801,1,New Visitor,237003,0,0,,4,0,0,0,0,0,0,0,0,0
24/06/2022,1.65606E+15,Friday,B98A0134AF3D44C5AA1347144843B8AF,yRbRtm3dLsY2CoC0HKYJLmNfVa13,1656058801,1,New Visitor,5079004,0,0,,3,0,0,2,0,5058003,0,0,0,0
26/08/2022,1.6615E+15,Friday,435E180186744D1FAD851A928FD67CE7,01Ka3xx7ICMTlmMR8RiGzr36Qm42,1661495705,1,New Visitor,311526003,0,1,,37,0,6,12,0,20691481004,0,0,0,0
26/08/2022,1.6615E+15,Friday,435E180186744D1FAD851A928FD67CE7,,1661495705,1,New Visitor,27886999,0,0,,7,0,0,0,0,0,0,0,0,0
08/07/2022,1.65725E+15,Friday,D13D80F64CE142F88D621D3DED7741FF,,1657252575,1,New Visitor,4401006,0,0,,6,0,0,0,0,0,0,0,0,0
08/07/2022,1.65725E+15,Friday,7C4BB9391F3541A9B48320A0766800C0,,1657252575,1,New Visitor,34382998,0,0,,8,0,0,0,0,0,0,0,0,0
08/07/2022,1.65727E+15,Friday,E54DAB315B6E47F987A12F6D290BC3F6,,1657272670,1,New Visitor,403003,0,0,,4,0,0,0,0,0,0,0,0,0
08/07/2022,1.65727E+15,Friday,E54DAB315B6E47F987A12F6D290BC3F6,059VyWLoggdNE5iYtEKRPmN0Sk03,1657272670,1,New Visitor,10944000,0,0,,3,0,0,0,0,3.70659E+11,0,0,0,0
08/07/2022,1.65725E+15,Friday,7C4BB9391F3541A9B48320A0766800C0,w8sHrvUaQvWrFrGIY0o4fQO8bhM2,1657252575,1,New Visitor,44535012,0,0,,8,0,0,0,0,4150001,0,0,0,0
22/07/2022,1.65851E+15,Friday,E9253D89DEA4455E8796043F187C1699,JVIC2b7FX3N4xozxs2cpVbodGc23,1658508270,2,Returning Visitor,103070999,0,0,,3,0,0,0,0,0,0,0,0,0
22/07/2022,1.65847E+15,Friday,F8148FA4621346AC9CF15E225C354B1B,znrsFVeqStREJFSrjJJHrcEFK2i1,1658472983,5,Returning Visitor,387006,0,0,,5,0,0,0,0,0,0,0,0,0
22/07/2022,1.65849E+15,Friday,26852217116F4F0AAEDA1750A02D3E6F,EERMqgPi5fUcSD3V4tRcI6KNvHp1,1658494234,3,Returning Visitor,14619000,0,0,,8,0,0,1,0,4.32821E+11,0,0,0,0
22/07/2022,1.65848E+15,Friday,65fe7b5d2163cf33a20fdb612bdd1004,JNOlg7nb0caoxuX50BTT20pJ8aB3,1658479953,44,Returning Visitor,1992656002,0,0,,16,0,4,4,0,1098794997,0,1,0,1
22/07/2022,1.6585E+15,Friday,890AF9D4FA8D412D920C49789ACC2ABA,mZhPRMCe6ihCGgr4WLNKA74Lfcq2,1658501659,11,Returning Visitor,344915003,0,0,,49,0,1,1,0,2.34943E+12,0,0,0,0
30/09/2022,1.66453E+15,Friday,24E67F68C97C46CA94C83083EE5BFF18,rmzrZm9JLtYPiSCQo5ESlzqclj63,1664529044,48,Returning Visitor,468851004,0,0,,2,0,0,0,0,8159255996,0,0,0,0
30/09/2022,1.66454E+15,Friday,24E67F68C97C46CA94C83083EE5BFF18,rmzrZm9JLtYPiSCQo5ESlzqclj63,1664537671,49,Returning Visitor,3762000,0,0,,2,0,0,0,0,0,0,0,0,0
30/09/2022,1.66455E+15,Friday,B4A463931C134FE4B238E672B68CF247,cN3zZBpXzCV9FgfMmAHdHqZrK3u2,1664551618,4,Returning Visitor,92333000,0,0,,12,0,0,0,0,1900002,0,0,0,0
13/05/2022,1.65245E+15,Friday,B6D2710FBB0A4E77805D055D8450A394,RrFRxE3TxhfRM7uFqVMaeflr3nA2,1652453219,33,Returning Visitor,4706002,0,0,,5,0,0,0,0,4.34134E+11,0,0,0,0
13/05/2022,1.65247E+15,Friday,FECCC63C737E4B02ABEB11A4545C2C98,hZCLimLB7pRSqnSxAl52OCQU0Ph1,1652471164,4,Returning Visitor,4957000,0,0,,3,0,0,0,0,3.96696E+12,0,0,0,0
01/07/2022,1.65667E+15,Friday,A2ECCB4200624749A49AEEEB39069423,CK8zzagBwJaJz3eygIuvIWBL4Mu1,1656667695,31,Returning Visitor,4298002,0,0,,2,0,0,0,0,0,0,0,0,0
